	Astrocyte	Astrocyte,Neurons	Astrocyte,Oligos	Blood	Immune	Neurons	Neurons,Cycling	Neurons,Oligos	Oligos	Vascular	dummy
Spotx129	4.723615e-10	0.2246316	0.008723531	0.25124344	0.053927384	0.11461339	4.721705e-10	0.07545534	0.06714832	0.20425704	4.723741e-10
Spotx130	4.3199958e-10	4.321125e-10	4.321323e-10	4.3207296e-10	4.3202103e-10	0.9790351	4.3209764e-10	4.321018e-10	4.3204657e-10	4.3212897e-10	0.020964915
Spotx131	0.39457297	1.0329892e-09	0.054025088	0.1868611	1.0334031e-09	0.12404557	1.0335509e-09	0.04825632	1.0330365e-09	0.18550648	0.006732443
Spotx132	4.673575e-10	0.0042209104	4.673468e-10	4.6729415e-10	4.673076e-10	0.25355962	0.038116593	0.04536497	0.64304477	4.672461e-10	0.015693117
Spotx133	0.16254851	7.6674744e-10	0.13089086	0.22623068	7.6651646e-10	0.29873917	0.16389002	7.6671675e-10	7.6696977e-10	0.016739221	0.0009615148
Spotx134	0.07928125	0.035533465	0.069680594	0.20881774	4.8651105e-10	4.865649e-10	0.1350883	0.24811833	0.13991763	0.07620356	0.007359211
Spotx135	0.13695627	1.0927144e-09	0.34219933	1.0929395e-09	1.0923664e-09	1.0925165e-09	1.0927561e-09	0.25071117	0.25467497	1.0929e-09	0.015458296
Spotx136	0.029088126	0.15433551	0.035148416	1.2030466e-09	1.2024891e-09	1.202551e-09	1.2028148e-09	0.28533748	0.442091	1.2030902e-09	0.05399945
Spotx137	0.005253666	1.047891e-09	1.0482667e-09	0.8733848	1.0479388e-09	1.0483068e-09	1.0482267e-09	1.0483148e-09	1.0479729e-09	0.12136149	1.0480549e-09
Spotx138	1.2838022e-09	1.2831266e-09	1.2833836e-09	0.2144804	1.2837484e-09	1.2836946e-09	1.2837484e-09	1.2831316e-09	1.2830654e-09	0.7855196	1.2838022e-09
Spotx139	4.3619286e-10	0.018214434	4.3628692e-10	0.060696214	0.14042757	4.3665904e-10	0.5904392	4.3634518e-10	0.18858194	4.360673e-10	0.0016406133
Spotx140	0.04877893	0.16788696	0.120747626	3.4538303e-10	3.454562e-10	0.08975414	0.017501326	0.030007195	0.4584153	0.0632213	0.0036872164
Spotx141	0.07329123	0.35165396	0.00036609996	6.184778e-10	6.184742e-10	0.07527487	6.1825134e-10	0.17748429	6.184247e-10	0.31548512	0.006444583
Spotx142	8.192682e-10	0.023776364	8.1955887e-10	0.098595314	0.011639023	0.2697043	8.1947604e-10	0.09630032	0.34459648	0.13904229	0.016345927
Spotx143	0.009982775	6.788624e-10	6.7897243e-10	6.792652e-10	0.20566449	0.2308533	0.11234647	0.14395793	0.013554055	0.2736661	0.009974852
Spotx144	0.5205026	8.156121e-10	8.16068e-10	8.156976e-10	8.160415e-10	8.1559803e-10	8.1611e-10	8.156105e-10	0.47691703	8.1581897e-10	0.0025803584
Spotx145	1.0994038e-09	0.082221106	0.12760374	1.0996113e-09	0.11131624	0.3684968	0.12763028	1.0999973e-09	0.08124047	0.101491444	1.09971e-09
Spotx146	0.112472646	0.02369292	0.15372956	8.883431e-10	8.8860924e-10	8.883635e-10	8.88516e-10	8.882161e-10	0.42457965	0.2855252	8.882127e-10
Spotx147	1.1352951e-09	1.1354641e-09	1.1355202e-09	1.1354554e-09	1.1351392e-09	1.1354488e-09	1.1355701e-09	1.1349984e-09	1.1352864e-09	0.98721904	0.012780961
Spotx148	0.0713442	0.12372338	0.16014552	4.9327176e-10	0.22914867	4.934308e-10	4.9332444e-10	0.14046302	0.26521483	4.9323223e-10	0.009960334
Spotx149	0.42761636	6.881252e-10	0.17227775	6.881751e-10	6.8842454e-10	6.8833916e-10	6.882145e-10	6.885191e-10	0.40010592	6.884482e-10	6.884731e-10
Spotx150	6.18202e-10	0.17847891	6.1851924e-10	6.185145e-10	0.063406006	0.0674093	0.19033606	0.4186432	0.073612384	6.182385e-10	0.0081142
Spotx151	5.597228e-10	0.3785374	5.597922e-10	5.596737e-10	5.596065e-10	0.29632008	0.0595766	5.595179e-10	0.11820176	0.14736411	5.5942395e-10
